idx,sar_id,obl_id,eli_id
0,1195555600081604610,1195555864851161088,
1,1199356317456109576,1199356963672465410,
2,1199358092326125568,,
3,1199347011402661890,,
4,1199347818898448385,,
5,1199348562498183177,1199350179767320584,
6,1195571428508213249,1195571548930875393,
7,1195556933253644288,1195557120734892032,1195553125161218049
8,1195371693776101376,,
9,1199334166392901633,1199338700238282752,1199148886591442946
10,1199347885625602048,1199348466343989248,
11,1199352177879388162,,
12,1195501928731443200,,
13,1195562400969187334,,
14,1195527834887950336,1195570116282290176,
15,1195571569843531776,,
16,1199315084109066241,1199334820075061248,
17,1195582223233077248,1195582674661863424,
18,1195491253095239682,1195552626806378497,
19,1195551450975391745,1195556036540649472,
20,1199297336922402817,,
21,1199309019476897792,,
22,1195555638484623361,1195555986058043392,1195550283990020096
23,1196724378739720192,1197873636620800005,
24,1199302236725137409,,
25,1199356698651168770,1199358586519990272,
26,1199349069484843008,1199350639282860032,
27,1199339068552704000,,
28,1199096675463311361,1199105023269048320,
29,1199101019273269256,,
30,1195551251246641157,1195562668641284096,
31,1199350373493989376,1199351950594195458,
32,1195549998563250176,1195551599248076800,1195548993335382016
33,1195575583033290752,,
34,1199352123890245638,1199352664410247171,
35,1195574645577146368,1195576151097454592,
36,1195454652092825603,1195456551521153024,
37,1195560997387419649,,1195560666418958336
38,1195564113298104320,1195566582833000449,1195563492776038400
39,1199339514180722689,1199340165115699204,1199339076169732096
40,1195560543349805057,,
41,1199335448310669312,1199336683373826048,
42,1199343592105377792,1199344521978343430,1199343157407707138
43,1195539570840014848,1195559527325806592,
44,1199323365875552256,1199347343247626249,
45,1195566533142958080,1195570479081246720,
46,1195559955459231745,1195560782282379265,1195558850536988672
47,1199345971940823040,1199349110366564355,
48,1195576217564516352,,
49,1199348935711580164,1199351463992008704,
50,1199064533006004224,1199352922863259648,1199015390225031169
51,1199281167272435712,1199350935371149313,1199110963921702914
52,1195386049389907968,,
53,1195560567114731520,1195562757862629376,1195558779112370176
54,1199353365865607170,1199353903449563141,
55,1199344755190071299,1199355550997200896,
56,1199063577598078976,1199187706783383558,
57,1195576736064380930,1195576916885037056,
58,1199341935535640584,,
59,1195552559768817664,1195555263467536384,1195546356091215872
60,1199270799015862272,1199281105259634688,
61,1195498862162649088,1195555900267778048,
62,1199344561966895114,1199346474271698947,
63,1198121416006213632,,
64,1199342053173317632,1199352640037179396,
65,1199345544730038280,,1199338432075460609
66,1195570645523820545,,1195331572255330305
