Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
idx,pattern,person,cue_id,sar_id,obl_id,eli_id,perspective
0,ABACD,1ST,1188859322018729986,1188832336940601344,1188834470310432768,1187028075470413829,INTENDED
1,ABAB,1ST,1197762765235994624,1197761602117754880,1197762222182809600,1197754543402029057,INTENDED
2,ABACB,1ST,1186929145416241152,1186768190258499584,1186921684923834369,1186757611057750022,INTENDED
3,ABA,1ST,1188127571143282689,1188123908097970177,1188126749357305858,,INTENDED
4,ABA,1ST,1197314633469759488,1197306615822782464,1197309970829721600,,INTENDED
5,ABAC,1ST,1194516447587897344,1194515938164563968,1194516338112368640,1194503855540559872,INTENDED
6,ABA,1ST,1191912450632900608,1191896972178968577,1191912018468577280,,INTENDED
7,ABAC,1ST,1192149312135933956,1192002981719396353,1192144347862622208,1191997071487836160,INTENDED
8,ABABBBBB,1ST,1188356272006914048,1188318717970546688,1188320410435084289,1188288441705848833,INTENDED
9,ABAC,1ST,1202019259062222848,1202017094667132928,1202018357282775040,1201972953551982593,INTENDED
10,ABA,2ND,1197552591124742146,1197552464112816128,,1197538519297806338,PERCEIVED
11,ABAB,1ST,1191787471237009417,1191786497743183872,1191787317020758017,1191751973432963073,INTENDED
12,ABAC,1ST,1192754449263071233,1192619882774433793,1192715048830898176,1192575749904986112,INTENDED
13,ABACD,1ST,1192987810707496960,1192937243889020928,1192938608442953728,1192935950080495616,INTENDED
14,ABABB,1ST,1202696193404477445,1202683161546809345,1202693373007728641,1202660435805319168,INTENDED
15,ABA,2ND,1192474679857954816,1192474344993280000,,1192473894390652928,PERCEIVED
16,AB,2ND,1189924931355590656,1189908450454708225,,,PERCEIVED
17,ABC,3RD,1195414281275228166,1195403639298252800,1195405190326898696,,PERCEIVED
18,ABA,1ST,1196538811775422466,1196534653802422273,1196535220381421568,,INTENDED
19,ABA,1ST,1195708136910397442,1195688859297861633,1195701799908454406,,INTENDED
20,ABA,1ST,1202762682086182912,1202760881534382085,1202762368385798146,,INTENDED
21,ABABCC,1ST,1196909719329349635,1196904001155031042,1196905293592039424,1196902794915172355,INTENDED
22,AB,2ND,1196307876676980736,1196189580711600128,,,PERCEIVED
23,ABACB,1ST,1191995812307492864,1191848077243699203,1191994471271084032,1191827285864845313,INTENDED
24,AABC,1ST,1189979426634846208,1189977183500025857,,1188908756761010176,INTENDED
25,ABAB,1ST,1193890608206798848,1193889703604490240,1193890451557888001,1193889542111203329,INTENDED
